day	month	year	flow			
19	10	1970	48.53
20	10	1970	50.34
21	10	1970	49.43
22	10	1970	49.43
23	10	1970	48.23
24	10	1970	47.06
25	10	1970	45.03
26	10	1970	43.89
27	10	1970	44.17
28	10	1970	41.95
29	10	1970	56.01
30	10	1970	61.01
31	10	1970	62.74
1	11	1970	72.93
2	11	1970	69.18
3	11	1970	64.49
4	11	1970	61.01
5	11	1970	59.99
6	11	1970	56.34
7	11	1970	51.88
8	11	1970	53.76
9	11	1970	54.72
10	11	1970	53.13
11	11	1970	50.34
12	11	1970	49.13
13	11	1970	46.18
14	11	1970	43.05
15	11	1970	40.06
16	11	1970	37.96
17	11	1970	40.86
18	11	1970	41.4
19	11	1970	38.48
20	11	1970	36.18
21	11	1970	33.96
22	11	1970	34.45
23	11	1970	34.2
24	11	1970	35.43
25	11	1970	35.93
26	11	1970	36.68
27	11	1970	35.93
28	11	1970	33.96
29	11	1970	31.37
30	11	1970	28.45
1	12	1970	26.12
2	12	1970	26.74
3	12	1970	23.9
4	12	1970	24.3
5	12	1970	34.2
6	12	1970	41.4
7	12	1970	41.4
8	12	1970	38.74
9	12	1970	35.93
10	12	1970	32.53
11	12	1970	29.11
12	12	1970	25.91
13	12	1970	24.1
14	12	1970	23.51
15	12	1970	22.17
16	12	1970	23.9
17	12	1970	29.55
18	12	1970	29.78
19	12	1970	32.77
20	12	1970	33.24
21	12	1970	30.91
22	12	1970	28.67
23	12	1970	28.89
24	12	1970	27.38
25	12	1970	24.9
26	12	1970	22.74
27	12	1970	20.65
28	12	1970	18.12
29	12	1970	15.6
30	12	1970	13.94
31	12	1970	12.97
1	1	1971	11.69
2	1	1971	10.84
3	1	1971	10.03
4	1	1971	9.413
5	1	1971	8.826
6	1	1971	8.826
7	1	1971	22.55
8	1	1971	31.6
9	1	1971	38.22
10	1	1971	41.95
11	1	1971	39.53
12	1	1971	35.68
13	1	1971	32.06
14	1	1971	28.24
15	1	1971	24.69
16	1	1971	22.36
17	1	1971	17.88
18	1	1971	18.36
19	1	1971	19.1
20	1	1971	23.51
21	1	1971	23.32
22	1	1971	23.51
23	1	1971	23.32
24	1	1971	24.49
25	1	1971	23.32
26	1	1971	21.8
27	1	1971	20.38
28	1	1971	19.35
29	1	1971	17.4
30	1	1971	15.82
31	1	1971	14.75
1	2	1971	13.74
2	2	1971	21.25
3	2	1971	30.68
4	2	1971	30.45
5	2	1971	28.24
6	2	1971	25.3
7	2	1971	23.13
8	2	1971	21.25
9	2	1971	19.86
10	2	1971	18.36
11	2	1971	20.38
12	2	1971	29.78
13	2	1971	35.93
14	2	1971	36.18
15	2	1971	34.69
16	2	1971	31.37
17	2	1971	27.59
18	2	1971	24.49
19	2	1971	22.74
20	2	1971	27.38
21	2	1971	33.96
22	2	1971	33.48
23	2	1971	31.6
24	2	1971	30.22
25	2	1971	27.38
26	2	1971	24.49
27	2	1971	22.36
28	2	1971	21.43
1	3	1971	21.8
2	3	1971	23.32
3	3	1971	22.55
4	3	1971	21.07
5	3	1971	18.36
6	3	1971	16.71
7	3	1971	15.39
8	3	1971	14.14
9	3	1971	12.97
10	3	1971	12.97
11	3	1971	19.1
12	3	1971	23.32
13	3	1971	23.71
14	3	1971	28.89
15	3	1971	35.68
16	3	1971	32.06
17	3	1971	28.02
18	3	1971	24.69
19	3	1971	22.17
20	3	1971	19.35
21	3	1971	17.64
22	3	1971	15.82
23	3	1971	15.17
24	3	1971	24.3
25	3	1971	29.11
26	3	1971	31.37
27	3	1971	31.37
28	3	1971	32.53
29	3	1971	36.94
30	3	1971	35.93
31	3	1971	33
1	4	1971	30
2	4	1971	26.53
3	4	1971	23.51
4	4	1971	21.62
5	4	1971	18.85
6	4	1971	16.04
7	4	1971	14.55
8	4	1971	13.16
9	4	1971	11.69
10	4	1971	10.67
11	4	1971	9.711
12	4	1971	8.826
13	4	1971	8.131
14	4	1971	7.604
15	4	1971	7.102
16	4	1971	7.476
17	4	1971	8.826
18	4	1971	11.52
19	4	1971	12.41
20	4	1971	12.41
21	4	1971	12.05
22	4	1971	11.17
23	4	1971	11.17
24	4	1971	11
25	4	1971	9.871
26	4	1971	9.264
27	4	1971	8.543
28	4	1971	7.997
29	4	1971	7.864
30	4	1971	7.604
1	5	1971	7.349
2	5	1971	6.98
3	5	1971	6.741
4	5	1971	6.281
5	5	1971	5.952
6	5	1971	5.739
7	5	1971	5.635
8	5	1971	5.431
9	5	1971	5.33
10	5	1971	5.232
11	5	1971	5.038
12	5	1971	4.666
13	5	1971	4.401
14	5	1971	4.401
15	5	1971	5.134
16	5	1971	6.17
17	5	1971	7.733
18	5	1971	12.59
19	5	1971	13.54
20	5	1971	15.39
21	5	1971	15.39
22	5	1971	14.14
23	5	1971	13.35
24	5	1971	12.41
25	5	1971	11
26	5	1971	12.05
27	5	1971	15.82
28	5	1971	17.88
29	5	1971	17.17
30	5	1971	15.82
31	5	1971	14.96
1	6	1971	13.94
2	6	1971	12.78
3	6	1971	12.05
4	6	1971	10.67
5	6	1971	9.413
6	6	1971	8.684
7	6	1971	7.864
8	6	1971	7.349
9	6	1971	6.86
10	6	1971	6.741
11	6	1971	6.281
12	6	1971	5.952
13	6	1971	5.232
14	6	1971	5.038
15	6	1971	4.943
16	6	1971	4.943
17	6	1971	4.943
18	6	1971	5.038
19	6	1971	5.232
20	6	1971	5.232
21	6	1971	5.845
22	6	1971	6.741
23	6	1971	7.102
24	6	1971	8.131
25	6	1971	10.03
26	6	1971	11
27	6	1971	13.35
28	6	1971	14.55
29	6	1971	16.94
30	6	1971	18.6
1	7	1971	20.12
2	7	1971	19.1
3	7	1971	18.12
4	7	1971	21.07
5	7	1971	21.07
6	7	1971	19.35
7	7	1971	17.17
8	7	1971	15.39
9	7	1971	13.74
10	7	1971	12.23
11	7	1971	11
12	7	1971	9.871
13	7	1971	9.116
14	7	1971	8.971
15	7	1971	9.413
16	7	1971	10.19
17	7	1971	10.19
18	7	1971	9.717
19	7	1971	8.971
20	7	1971	8.404
21	7	1971	8.267
22	7	1971	8.543
23	7	1971	8.267
24	7	1971	7.733
25	7	1971	7.864
26	7	1971	8.131
27	7	1971	8.131
28	7	1971	7.733
29	7	1971	7.349
30	7	1971	6.98
31	7	1971	7.349
1	8	1971	7.476
2	8	1971	7.349
3	8	1971	6.741
4	8	1971	7.341
5	8	1971	7.733
6	8	1971	7.733
7	8	1971	7.733
8	8	1971	8.404
9	8	1971	8.826
10	8	1971	8.267
11	8	1971	7.864
12	8	1971	7.604
13	8	1971	7.476
14	8	1971	7.225
15	8	1971	6.86
16	8	1971	6.624
17	8	1971	6.281
18	8	1971	6.281
19	8	1971	6.17
20	8	1971	6.06
21	8	1971	5.845
22	8	1971	5.635
23	8	1971	5.33
24	8	1971	5.038
25	8	1971	4.943
26	8	1971	5.431
27	8	1971	6.17
28	8	1971	6.741
29	8	1971	9.264
30	8	1971	13.16
31	8	1971	16.94
1	9	1971	30.22
2	9	1971	33
3	9	1971	30.91
4	9	1971	28.67
5	9	1971	26.74
6	9	1971	24.1
7	9	1971	21.62
8	9	1971	19.1
9	9	1971	16.71
10	9	1971	16.71
11	9	1971	14.75
12	9	1971	12.78
13	9	1971	11.34
14	9	1971	10.35
15	9	1971	9.564
16	9	1971	8.826
17	9	1971	8.267
18	9	1971	9.871
19	9	1971	12.05
20	9	1971	11.87
21	9	1971	11.69
22	9	1971	11.87
23	9	1971	12.78
24	9	1971	14.96
25	9	1971	16.94
26	9	1971	16.48
27	9	1971	15.17
28	9	1971	13.94
29	9	1971	12.78
30	9	1971	12.05
1	10	1971	12.41
2	10	1971	11.87
3	10	1971	11.52
4	10	1971	10.67
5	10	1971	9.717
6	10	1971	10.03
7	10	1971	12.59
8	10	1971	13.94
9	10	1971	20.38
10	10	1971	40.06
11	10	1971	49.13
12	10	1971	50.34
13	10	1971	46.76
14	10	1971	43.05
15	10	1971	39.53
16	10	1971	41.4
17	10	1971	41.68
18	10	1971	40.06
19	10	1971	40.32
20	10	1971	42.22
21	10	1971	57.32
22	10	1971	74.85
23	10	1971	69.55
24	10	1971	62.05
25	10	1971	55.69
26	10	1971	49.73
27	10	1971	44.17
28	10	1971	39.53
29	10	1971	34.94
30	10	1971	33
31	10	1971	41.13
1	11	1971	43.6
2	11	1971	45.89
3	11	1971	53.76
4	11	1971	66.27
5	11	1971	63.09
6	11	1971	58.98
7	11	1971	58.31
8	11	1971	59.32
9	11	1971	56.01
10	11	1971	53.76
11	11	1971	51.57
12	11	1971	47.94
13	11	1971	45.6
14	11	1971	43.61
15	11	1971	53.13
16	11	1971	56.34
17	11	1971	53.45
