"","X","X.2","X.1","MUNICIPALITY","RESP","CVD","PM10","CO","NO2","Temp","ID.MUNICIPALITY","ID.PM10","ID.CO","ID.NO2","RESP1","Expected","TotalPop"
"1",1,1,1,1001,12,46,133.304740458015,1.63462595419847,98.0300687022901,284.686412238589,1,1,1,1,2,13.9313436099268,400
"2",2,2,2,1002,16,31,158.745948529412,1.94128676470588,145.307088235294,287.143692914177,2,2,2,2,6,18.8073138734011,540
"3",3,3,3,1003,0,6,48.1892727272727,0.430969696969697,17.5929696969697,276.839245882901,3,3,3,3,0,-9.5820596917022,12
"4",4,4,4,1004,0,25,133.947676923077,1.62252307692308,108.593323076923,286.765077092097,4,4,4,4,0,-1.08394008964688,256
"5",5,5,5,1005,0,9,108.541947368421,1.41265789473684,75.3215,282.890370151453,5,5,5,5,0,-8.74617907510659,36
"6",6,6,6,1006,34,56,106.217168316832,1.38249504950495,84.2549702970297,284.730239452702,6,6,6,6,24,19.7128512080464,566
"7",7,7,7,1007,0,5,90.4721,0.55695,42.29475,282.888118743896,7,7,7,7,0,-9.44274625560293,16
"8",8,8,8,1008,76,138,143.32360371517,2.16086068111455,138.699074303406,285.819881096713,8,8,8,8,66,43.74441893517,1256
"9",9,9,9,1009,11,22,177.120255319149,2.58678723404255,124.867457446809,284.584790168925,9,9,9,9,1,10.0305673991473,288
"10",10,10,10,1010,0,7,64.616447368421,0.432078947368421,21.7515,278.847272370991,10,10,10,10,0,-7.56201486826282,70
"11",11,11,11,1011,0,4,74.95475,0.801,36.687,279.971308390299,11,11,11,11,0,-9.09446266535476,26
"12",12,12,12,1012,0,6,147.335,2.04790697674419,97.4498139534884,286.395541168923,12,12,12,12,0,-6.72613425166721,94
"13",13,13,13,1013,63,115,135.771265517241,1.86466896551724,124.524493103448,285.379735696727,13,13,13,13,53,40.2615830326883,1156
"14",14,14,14,1014,0,20,165.488370967742,2.25403225806452,134.67785483871,286.705337032195,14,14,14,14,0,-3.38261178528479,190
"15",15,15,15,1015,11,15,137.891428571429,1.32019642857143,88.2237321428571,286.024367741176,15,15,15,15,1,-8.81583579315623,34
"16",16,16,16,1016,16,47,118.962427480916,1.45951145038168,83.7687404580153,284.932941698846,16,16,16,16,6,-0.457029627200175,274
"17",17,17,17,1017,0,7,127.747666666667,1.606375,96.7729166666667,284.856991238064,17,17,17,17,0,-8.32823876680879,48
"18",18,18,18,1018,19,23,149.049507936508,2.09766666666667,106.296452380952,286.332924575402,18,18,18,18,9,-1.29291024379578,250
"19",19,19,19,1019,0,9,35.2223333333333,0.229111111111111,8.07344444444444,278.510714382596,19,19,19,19,0,-9.93034328195037,2
"20",20,20,20,1020,15,44,149.156371428571,2.1544,138.203014285714,286.744169580369,20,20,20,20,5,29.5344484530447,848
"21",21,21,21,1021,0,25,156.959,1.73016129032258,116.144419354839,285.386273784022,21,21,21,21,0,-5.19368645457527,138
"22",22,22,22,1022,10,20,39.5939051724138,0.50301724137931,14.9097844827586,275.081214261694,22,22,22,22,0,21.8025527495354,626
"23",23,23,23,1023,0,13,143.42475,1.36975,90.83975,285.10182153611,23,23,23,23,0,-7.21373127801465,80
"24",24,24,24,1024,137,220,165.20751884058,2.79915072463768,183.117556521739,286.173527725883,24,24,24,24,127,52.4515086913742,1506
"25",25,25,25,1025,20,40,131.213144736842,1.74286842105263,116.475381578947,281.384376325105,25,25,25,25,10,21.3846124412376,614
"26",26,26,26,1026,0,7,54.5404193548387,0.551548387096774,23.0416129032258,275.203311621319,26,26,26,26,0,-8.74617907510659,36
"27",27,27,27,1027,0,21,133.9104375,1.832734375,99.83053125,287.619022369385,27,27,27,27,0,-3.87020881163223,176
"28",28,28,28,1028,75,114,159.201518644068,2.46631186440678,150.924593220339,286.348982161183,28,28,28,28,65,30.2310156335411,868
"29",29,29,29,1029,0,12,80.4844482758621,0.521862068965517,38.0095172413793,282.736998196306,29,29,29,29,0,-6.86544768776648,90
"30",30,30,30,1030,12,49,136.371798701299,1.70347402597403,111.827279220779,287.589829283875,30,30,30,30,2,15.5334481250683,446
"31",31,31,31,1031,0,21,125.699448979592,1.69008163265306,95.9892448979592,288.262050706513,31,31,31,31,0,-5.12402973652564,140
"32",32,32,32,1032,12,24,96.117670212766,1.22198936170213,62.8807553191489,285.166274050449,32,32,32,32,2,12.6078659669837,362
"33",33,33,33,1033,23,30,144.617837037037,1.87688148148148,118.734481481481,286.853635943377,33,33,33,33,13,11.4237017601399,328
"34",34,34,34,1034,33,78,168.950660792952,2.55247136563877,146.233718061674,286.622971320467,34,34,34,34,23,30.0917021974418,864
"35",35,35,35,1035,18,41,139.996048611111,2.02425694444444,131.437840277778,286.062034818861,35,35,35,35,8,14.836880944572,426
"36",36,36,36,1036,0,4,125.869,1.004,69.981625,282.16565489769,36,36,36,36,0,-9.16411938340439,24
"37",37,37,37,1037,0,2,137.661176470588,1.716,77.7578823529412,286.309108060949,37,37,37,37,0,-8.18892533070952,52
"38",38,38,38,1038,25,65,142.842660944206,2.19657510729614,146.153111587983,285.784286106093,38,38,38,38,15,17.4141795124084,500
"39",39,39,39,1039,0,15,170.368625,2.6106625,120.0182875,285.968438339233,39,39,39,39,0,-1.57153711599432,242
"40",40,40,40,1040,0,18,79.3217142857143,0.913844155844156,50.5641038961039,279.889074350332,40,40,40,40,0,-5.054373018476,142
"41",41,41,41,1041,0,12,148.374461538462,1.87163461538462,134.768192307692,284.636826735276,41,41,41,41,0,-6.23853722531978,108
"42",42,42,42,1042,0,14,139.465709677419,1.79222580645161,113.278048387097,284.22831824518,42,42,42,42,0,-7.42270143216355,74
"43",43,43,43,1043,0,11,128.335985074627,1.75877611940299,108.918,285.908226901382,43,43,43,43,0,-3.10398491308626,198
"44",44,44,44,1044,41,93,101.825874493927,1.42614170040486,81.530951417004,280.83937054221,44,44,44,44,31,37.4056575926533,1074
"45",45,45,45,1045,30,69,130.569976744186,1.68797674418605,115.975288372093,285.208133147484,45,45,45,45,20,15.2548212528698,438
"46",46,46,46,1046,24,69,129.733369318182,1.6629375,99.1189943181818,282.150998895819,46,46,46,46,14,12.1899256586859,350
"47",47,47,47,1047,35,113,148.505370689655,2.02980172413793,114.21774137931,285.125741629765,47,47,47,47,25,34.5497321526183,992
"48",48,48,48,1048,44,60,168.630798206278,2.50478923766816,139.157210762332,286.372559195891,48,48,48,48,34,13.6527167377282,392
"49",49,49,49,1049,12,15,141.484537313433,1.76935820895522,123.128865671642,286.266129223268,49,49,49,49,2,-6.02956707117088,114
"50",50,50,50,1050,11,21,155.1313,2.10647142857143,121.7254,284.421725463867,50,50,50,50,1,-2.47707445063955,216
"51",51,51,51,1051,20,54,167.024510752688,2.40241397849462,168.107489247312,286.197279735278,51,51,51,51,10,-0.0390893189023718,286
"52",52,52,52,1052,0,4,92.42345,0.69925,48.3788,280.886210632324,52,52,52,52,0,-9.51240297365256,14
"53",53,53,53,1053,14,25,116.689111111111,1.63159259259259,102.649938271605,283.265340546031,53,53,53,53,4,-2.75570132283809,208
"54",54,54,54,1054,0,6,49.1362727272727,0.490848484848485,15.801303030303,282.706386681759,54,54,54,54,0,-9.7910298458511,6
"55",55,55,55,1055,0,20,98.1279017857143,0.982071428571429,62.3171339285714,281.602009637015,55,55,55,55,0,-5.40265660872417,132
"56",56,56,56,1056,0,26,116.574375,1.599625,102.066160714286,286.476228305272,56,56,56,56,0,-6.44750737946868,102
"57",57,57,57,1057,0,11,50.38209375,0.45059375,21.5611875,280.659490267436,57,57,57,57,0,-5.54197004482344,128
"58",58,58,58,1058,78,160,163.211315436242,2.30225838926174,149.683577181208,285.580101508156,58,58,58,58,68,46.1127473488576,1324
"59",59,59,59,1059,204,421,161.41643956044,2.37975274725275,140.057,285.686642513545,59,59,59,59,194,187.446228271564,5382
"60",60,60,60,1060,18,11,155.29427027027,2.0297027027027,99.9741756756757,286.518504168536,60,60,60,60,8,-3.59158193943369,184
"61",61,61,61,1061,0,19,151.772112903226,2.22162903225806,140.823338709677,285.139169631466,61,61,61,61,0,-5.89025363507161,118
"62",62,62,62,1062,22,25,139.238041322314,1.71163636363636,115.352727272727,284.909256738079,62,62,62,62,12,-1.22325352574615,252
"63",63,63,63,1063,125,174,152.362350877193,2.37664619883041,142.832947368421,286.298910576001,63,63,63,63,115,54.6108669509129,1568
"64",64,64,64,1064,0,15,142.935949367089,1.66359493670886,88.2712025316456,286.44510467143,64,64,64,64,0,-3.45226850333443,188
"65",65,65,65,1065,0,25,162.525340206186,2.32541237113402,156.885020618557,285.655311820433,65,65,65,65,0,10.4485077074451,300
"66",66,66,66,1066,50,118,126.181326693227,1.61919920318725,96.8073147410359,283.627057504844,66,66,66,66,40,59.8351208046354,1718
"67",67,67,67,1067,0,7,87.9567307692308,0.676115384615385,40.3836923076923,282.362065241887,67,67,67,67,0,-8.32823876680879,48
"68",68,68,68,1068,29,44,154.630684210526,2.11416315789474,123.282515789474,285.691959100021,68,68,68,68,19,13.9313436099268,400
"69",69,69,69,1069,0,18,163.896662921348,2.64342696629213,118.325674157303,284.660188824943,69,69,69,69,0,-2.96467147698699,202
"70",70,70,70,1070,34,59,147.014039408867,1.91022167487685,134.99124137931,286.381118774414,70,70,70,70,24,22.4294632119821,644
"71",71,71,71,1071,0,22,150.4859,2.23277777777778,153.564522222222,286.723368326823,71,71,71,71,0,-2.40741773258992,218
"72",72,72,72,1072,10,13,60.1879411764706,0.535014705882353,25.3514264705882,282.233637417064,72,72,72,72,0,-5.40265660872417,132
"73",73,73,73,1073,0,2,25.5464444444444,0.212666666666667,4.52422222222222,272.045553056021,73,73,73,73,0,-9.86068656390073,4
"74",74,74,74,1074,0,3,32.3188333333333,0.3328,9.66856666666667,274.934257380168,74,74,74,74,0,-2.54673116868919,214
"75",75,75,75,1075,0,8,39.8664090909091,0.330318181818182,12.8397272727273,278.961988044507,75,75,75,75,0,-8.46755220290806,44
"76",76,76,76,1076,0,18,106.520945945946,1.37048648648649,82.0504864864865,281.832207344674,76,76,76,76,0,-5.054373018476,142
"77",77,77,77,1077,10,29,106.782115789474,1.1882,71.1042631578947,285.986317202919,77,77,77,77,0,-4.14883568383076,168
"78",78,78,78,1078,222,347,160.705314763231,2.66927019498607,128.609155988858,285.892271730783,78,78,78,78,212,219.557975292446,6304
"79",79,79,79,1079,0,4,66.798,0.6015,37.1066875,284.14807844162,79,79,79,79,0,-8.74617907510659,36
"80",80,80,80,1080,0,19,81.3870923076923,1.08324615384615,54.6296,283.024760084886,80,80,80,80,0,-7.70132830436209,66
"81",81,81,81,1081,0,18,128.694379746835,1.77549367088608,115.74,282.138329228268,81,81,81,81,0,10.4485077074451,300
"82",82,82,82,1082,142,274,164.355274787535,2.47323512747875,136.022798866856,286.142041646725,82,82,82,82,132,123.292390947852,3540
"83",83,83,83,1083,0,2,143.872333333333,1.21372222222222,90.9511666666667,288.759129418267,83,83,83,83,0,-8.39789548485842,46
"84",84,84,84,1084,0,2,77.9893571428571,0.465428571428571,28.0192142857143,276.742159162249,84,84,84,84,0,-8.53720892095769,42
"85",85,85,85,1085,0,8,151.31725,1.79475,90.47855,285.671782684326,85,85,85,85,0,-8.74617907510659,36
"86",86,86,86,1086,150,267,136.671124293785,1.88410734463277,115.061019774011,285.814693558688,86,86,86,86,140,67.4277030720455,1936
"87",87,87,87,1087,0,1,17.6315,0.0915,2.0555,274.360544204712,87,87,87,87,0,-8.04961189461025,56
"88",88,88,88,1088,0,15,81.2576162790698,0.865267441860465,41.9736279069767,281.777650345204,88,88,88,88,0,-5.054373018476,142
"89",89,89,89,1089,22,42,87.9686826347305,1.04276047904192,56.7671976047904,278.595610064661,89,89,89,89,12,15.6727615611676,450
"90",90,90,90,1090,226,443,155.501419178082,2.80232602739726,170.532821917808,286.199096679688,90,90,90,90,216,142.935585437848,4104
"91",91,91,91,1091,0,9,94.4253529411765,0.883,47.5678235294118,286.254344267004,91,91,91,91,0,-5.33299989067454,134
"92",92,92,92,1092,0,3,146.669043478261,1.98560869565217,124.847130434783,286.145564867103,92,92,92,92,0,-7.07441784191538,84
"93",93,93,93,1093,18,57,105.750447513812,1.41917679558011,86.9987624309392,279.741426190399,93,93,93,93,8,15.1155078167705,434
"94",94,94,94,1094,19,51,102.177701986755,1.09603973509934,60.8099668874172,280.819434496477,94,94,94,94,9,15.8120749972669,454
"95",95,95,95,1095,0,6,129.77337037037,0.891555555555556,64.8452962962963,287.018402099609,95,95,95,95,0,-8.46755220290806,44
"96",96,96,96,1096,0,14,136.017871794872,1.42115384615385,89.8985128205128,285.896256471292,96,96,96,96,0,-1.50188039794468,244
"97",97,97,97,1097,47,93,138.677526530612,1.7014,122.29832244898,285.848464841259,97,97,97,97,37,20.9666721329398,602
"98",98,98,98,1098,49,99,118.62260311284,1.52907782101167,90.5737509727626,284.492927937192,98,98,98,98,39,72.0250464633213,2068
"99",99,99,99,1099,60,109,147.388185770751,1.91462055335968,130.370209486166,286.228841849467,99,99,99,99,50,35.176642615065,1010
"100",100,100,100,1100,0,7,57.5126923076923,0.431307692307692,22.3799230769231,275.683273706681,100,100,100,100,0,-8.95514922925549,30
"101",101,101,101,1101,17,31,136.862135483871,1.79316774193548,112.555516129032,285.498332755796,101,101,101,101,7,28.5592544003498,820
"102",102,102,102,1102,0,21,154.330927083333,2.02983333333333,127.286052083333,286.021061817805,102,102,102,102,0,18.1804034109544,522
"103",103,103,103,1103,0,8,30.8456451612903,0.33241935483871,10.229935483871,280.569634222215,103,103,103,103,0,-9.02480594730513,28
"104",104,104,104,1104,25,48,124.441243243243,1.47695945945946,94.5465810810811,285.283061053302,104,104,104,104,15,-3.45226850333443,188
"105",105,105,105,1105,0,4,154.761862068966,1.83031034482759,127.42175862069,287.997036637931,105,105,105,105,0,-6.93510440581611,88
"106",106,106,106,1106,0,25,155.902511363636,2.00848863636364,121.085715909091,285.03447896784,106,106,106,106,0,-1.29291024379578,250
"107",107,107,107,1107,16,48,111.600841726619,1.37564028776978,76.8937985611511,284.99338558938,107,107,107,107,6,22.7777468022302,654
"108",108,108,108,1108,0,5,46.4542222222222,0.371111111111111,16.4691111111111,278.531987508138,108,108,108,108,0,-10,10
"109",109,109,109,1109,13,23,143.30887628866,1.7929793814433,115.284659793814,287.181882484672,109,109,109,109,3,-3.10398491308626,198
"110",110,110,110,1110,14,34,139.205806451613,1.87261290322581,129.79535483871,287.304873804892,110,110,110,110,4,-1.22325352574615,252
"111",111,111,111,1111,0,6,150.699451612903,1.7048064516129,125.765741935484,287.477126090757,111,111,111,111,0,-8.88549251120586,32
